id;sort_order;title;content;article_id
100;1;Herzlich willkommen;Wir freuen uns, dass Sie sich für die Gesundheit Ihres Tieres interessieren. Auf unserer Plattform finden Sie Expertenwissen, praktische Ratschläge und einen direkten Draht zu Fachleuten.;100
110;1;Schulmedizin;Moderne diagnostische Verfahren und bewährte veterinärmedizinische Behandlungen als solide Grundlage.;110
111;2;Naturheilkunde;Phytotherapie, Homöopathie und weitere sanfte Heilmethoden zur Unterstützung der Selbstheilungskräfte.;110
112;3;Ganzheitliche Betreuung;Individuelle Therapiepläne unter Berücksichtigung von Körper, Geist und Lebensumfeld Ihres Tieres.;110
130;1;Telefon;+43 (0)5574 83500;130
131;2;E-Mail;info@tier-gesund.at;130
132;3;Adresse;Holzackergasse 13<br/>6900 Bregenz;130
133;4;Sprechzeiten;Mo: 14–18 Uhr<br/>Di: 8:30-12:30 Uhr<br/>Do: 8:30-12:30 Uhr;130
230;1;Wirksamkeit und Behandlung;<p>Die medizinische Wirksamkeit der Blutegeltherapie ist bereits seit 3000 Jahren bekannt.</p><p>Zur Behandlung darf nur eine bestimmte Egelart eingesetzt werden: Der Hirudo medicinalis. Dieser medizinische Egel wird unter strengen Hygieneanforderungen eigens für die Blutegeltherapie gezüchtet. Das garantiert, daß die Egel frei von Krankheiten sind und somit keine Krankheiten/Keime übertragen. Ein Blutegel wird niemals ein zweites Mal benutzt: Da sie das Blut von Patienten aufnehmen, welches Bakterien oder Viren enthalten kann, werden die Tiere nach der Behandlung tierschutzgerecht getötet und speziell entsorgt.</p><p>Wissenschaftler haben über 20 verschiedene Inhaltsstoffe im Speichel der kleinen Tierchen gefunden. Am intensivsten erforscht wurden die Substanzen Eglin und Hirudin. Eglin wirkt entzündungshemmend und schmerzstillend. Hirudin hemmt die Blutgerinnung und wirkt entkrampfend auf Gefäße und somit entstauend. Weiters fördert Hirudin die Bildung und Aktivität der weissen Blutkörperchen (Leukozyten) (immunstärkend). Hirudin steigert auch den Lymphfluss, wodurch die in der Lymphe enthaltenen Schadstoffe schneller ausgeschieden werden und der Körper somit entgiftet wird.</p>;230
231;2;Beispiele für Einsatzmöglichkeiten der Blutegeltherapie:;<ul><li>Gelenkerkrankungen (Arthrose, Arthritis, etc.)</li><li>chronische Nacken-, Schulter- und Rückenbeschwerden</p></li><li>Nervenschmerzen</li><li>Wundheilungsstörungen</li><li>Durchblutungsstörungen</li><li><strong>Sehnenscheidenentzündung</strong></li><li>Leberstau</li><li>Lymphstau</li><li>Blutergüssen etc.</li></ul>;230
232;3;Ablauf Blutegeltherapie:;<p>Jeder Patient wird vorher gründlich vom Tierarzt untersucht, ob die Blutegeltherapie für ihn in Frage kommt. Dann werden die Blutegel (je nach Patientengröße bzw. Indikation) angesetzt – hierfür ist ein ruhiger Ort für Patient und Besitzer in der Tierklinik Fürst reserviert.</p><p>Die Blutegel saugen ca. 10-20 ml Blut, indem sie eine kleine Wunde in die Haut ritzen, wo sie sich festsaugen. Mit ihrem Speichel geben sie dabei mindestens 30 verschiedene Substanzen in Blut und Gewebe ab. Diese wirken unter anderem gegen Schmerzen und Entzündungen – außerdem hemmen sie die <strong>Blutgerinnung</strong>. – daher auch als „sanfter Aderlass“ bezeichnet.</p><p>Bei der Blutegeltherapie macht man sich vor allem die Wirkstoffe im <strong>Speichel</strong> der Parasiten zunutze. Aber auch dem Bissreiz und der Nachblutung nach dem Abfallen des Blutegels wird therapeutische Wirkung zugeschrieben.</p><p>Ein Blutegel fällt nach ca. 30- 90 min. von alleine vom Körper ab, sobald er genügend Blut gesaugt hat.</p><p>Nachdem der Egel abgefallen ist, beginnt die Wunde zu bluten. Dieses Nachbluten ist erwünscht und sollte nicht unterbunden werden, denn es erhöht die Wirksamkeit der Blutegeltherapie und hat eine entstauende Wirkung. Das Nachbluten dauert in der Regel bis zu 12 Stunden. In Ausnahmefällen kann es auch bis zu 24 Stunden anhalten.</p><p>Wir konnten in der Tierklinik Fürst bereits vielen unserer Patienten (im Bild unsere Mia bei ihrer ersten Behandlung) mit ganzheitlichen Therapieformen wie z.B.der Blutegeltherapie helfen. Jeder Patient bekommt bei uns eine individuell auf ihn abgestimmte Therapie!</p><p>Bei Interesse an umnfassender ganzheitsmedizinischer Unterstützung für ihr Tier bitte um Terminvereinbarung in der Tierklinik Fürst bei</p>;230
