id;title;content;state;published_date;created_at;updated_at;language;article_type;sort_order;page_id
100;Willkommen bei Tier Gesund;Tier Gesund ist Ihre erste Anlaufstelle für alle Fragen rund um die Gesundheit Ihrer Tiere. Wir bieten fundierte Informationen, praktische Tipps und professionelle Beratung für Tierbesitzerinnen und Tierbesitzer.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;HERO;1;100
110;Unsere Behandlungsmethoden;Ein individueller Ansatz für jedes Tier;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;COL3;2;100
120;Unsere Philosophie;Seit über 15 Jahren verfolgen wir einen integrativen Ansatz, der das Beste aus verschiedenen Welten vereint. Jedes Tier ist einzigartig und verdient eine individuelle Behandlung.<br/>Wir nehmen uns Zeit für eine ausführliche Diagnose und entwickeln gemeinsam mit Ihnen einen Therapieplan, der sowohl wirksam als auch schonend ist.";PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;100
130;Kontakt & Sprechzeiten;Wir sind für Sie und Ihr Tier da;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;COL4;4;100
210;CHIROPRAKTIK FÜR TIERE;Chiropraktische Behandlung ist grundsätzlich für jedes Tier sinnvoll.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;200
220;Goldimplantation zur Schmerztherapie bei Katzen;Die Goldimplantation ist eine vielversprechende, nebenwirkungsfreie Option für Katzen mit chronischen Gelenkschmerzen, wenn andere Therapien nicht mehr ausreichend helfen oder nicht vertragen werden. Der Schlüssel zum Erfolg liegt in der erfahrenen Hand eines spezialisierten Tierarztes, der eine extrem gründliche Diagnostik durchführt.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;2;200
230;Blutegeltherapie;Erfahren Sie, wie Blutegel bei verschiedenen Beschwerden wie Schmerzen, Entzündungen oder Venenerkrankungen helfen können.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;200
300;Über Tier Gesund;Tier Gesund ist eine engagierte Tierärzten, die sich der Gesundheit und dem Wohlbefinden von Tieren verschrieben hat. Erfahren Sie mehr über unsere Geschichte und unsere Werte.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;300
310;Therapieangebot;Unser Therapieangebot;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;300
320;Aus- und Fortbildungen;Fortbildungen im Laufe der Jahre absolviert;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;2;300
330;Mitgliedschaften;Mitgliedschafen in nationalen und internationalen Organisationen;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;300
400;Datenschutzerklärung;Diese Datenschutzerklärung informiert Sie über die Art, den Umfang und den Zweck der Verarbeitung personenbezogener Daten auf dieser Website. Wir nehmen den Schutz Ihrer Daten sehr ernst.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;400
500;Impressum;Angaben gemäß § 5 TMG. Diese Seite enthält alle rechtlich erforderlichen Angaben zum Betreiber dieser Website.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;500
600;Kontakt;Nehmen Sie Kontakt mit uns auf – wir freuen uns auf Ihre Nachricht. Unser Team steht Ihnen bei allen Fragen rund um die Tiergesundheit zur Verfügung.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;600
