id;title;content;state;published_date;created_at;updated_at;author;language;page;article_image_id
200;Welcome to Pet Health;Pets are not just loyal companions, but true soul comforters. Whether dog, cat or rabbit – every animal has its own personality and brings joy into our everyday lives. In our portal you will find everything important about pet health, from prevention to professional veterinary medicine.;PUBLISHED;2025-02-15T08:00:00;2025-02-14T09:30:00;2025-02-15T08:00:00;Dr. Miller;ENGLISH;HOME_TEASER;1
201;Life in a Veterinary Practice;A veterinary clinic is a place full of emotions – from joyful vaccination appointments to dramatic emergencies. While regular check-ups are important for early disease detection, sudden injuries or illnesses require quick action. Veterinarians must not only be medically proficient but also empathetic with worried pet owners.;PUBLISHED;2025-03-01T10:30:00;2025-02-28T14:15:00;2025-03-01T10:30:00;Dr. Johnson;ENGLISH;HOME_PAGE;2
202;The Most Common Health Problems in Pets;Many pets suffer from similar complaints: dogs often from joint problems, cats from kidney disease, and small rodents sometimes from dental issues. A balanced diet, regular exercise and preventive check-ups can prevent many diseases. However, even with the best care, unexpected situations can occur.;PUBLISHED;2025-03-10T14:15:00;2025-03-08T10:45:00;2025-03-10T14:15:00;Dr. Smith;ENGLISH;HOME_PAGE;3
203;Modern Veterinary Medicine: Innovations That Save Lives;Veterinary medicine has made tremendous progress in recent years. From gentle surgical methods to specialized physiotherapy and personalized cancer therapies – the possibilities are diverse. Digital tools such as telemedicine are also becoming increasingly important for quick consultation.;PUBLISHED;2025-03-18T09:45:00;2025-03-16T11:20:00;2025-03-18T09:45:00;Dr. Brown;ENGLISH;HOME_PAGE;4
204;How We Give Our Animals a Healthy Life;The most important thing is prevention: vaccinations, parasite control and species-appropriate care are the foundations for a long, happy animal life. But the bond between human and animal also plays a role – because attention and care strengthen well-being. After all, our animal family members deserve the best!;PUBLISHED;2025-03-25T11:20:00;2025-03-23T15:30:00;2025-03-25T11:20:00;Dr. Davis;ENGLISH;HOME_PAGE;5
205;Latest News from Veterinary Medicine;The latest developments and insights from the world of animal health. Learn which research is currently moving the industry and how new therapeutic approaches help animals live better lives. Stay informed about trends and groundbreaking discoveries.;PUBLISHED;2025-02-28T07:00:00;2025-02-26T13:00:00;2025-02-28T07:00:00;Dr. Wilson;ENGLISH;NEWS_TEASER;6
206;New Insights on Zoonosis Prevention;Zoonoses are diseases that can be transmitted between animals and humans. New research shows promising ways for pet owners to better protect their animals and themselves. The most important measures and current recommendations from veterinarians are now summarized.;PUBLISHED;2025-02-20T13:30:00;2025-02-18T09:15:00;2025-02-20T13:30:00;Dr. Taylor;ENGLISH;NEWS_PAGE;7
207;Interview with Leading Veterinarian;We speak with Dr. Sarah Anderson about her 20 years of experience in small animal medicine. She shares her views on the future of veterinary medicine and gives practical tips for pet owners on how to better handle emergency situations. An inspiring conversation about passion and professional expertise.;PUBLISHED;2025-03-05T15:45:00;2025-03-03T10:30:00;2025-03-05T15:45:00;Dr. Anderson;ENGLISH;NEWS_PAGE;8
208;Animal Welfare and Animal Health: An Important Topic;Species-appropriate care is not only animal welfare, but also a prerequisite for a healthy animal life. Experts discuss current challenges and how breeders and owners can contribute to better standards. An overview of legal regulations and ethical responsibility.;PUBLISHED;2025-03-12T10:15:00;2025-03-10T14:00:00;2025-03-12T10:15:00;Prof. Dr. Martin;ENGLISH;NEWS_PAGE;9
209;Innovative Healing Methods for Geriatric Animals;As animals age, they need special attention. New therapeutic approaches help elderly pets improve their quality of life. From pain management to cognitive training programs – learn how modern medicine helps older animals.;PUBLISHED;2025-03-22T12:00:00;2025-03-20T08:45:00;2025-03-22T12:00:00;Dr. Thompson;ENGLISH;NEWS_PAGE;10
