id;title;content;state;published_date;created_at;updated_at;language;article_type;sort_order;page_id
100;Wenn Ihr Tier mehr braucht als eine Diagnose.;Ganzheitlich-integrative Tiermedizin auf internationalem Niveau — für Kleintiere und Pferde.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;HERO;1;100
110;Unsere Behandlungsmethoden;Ein individueller Ansatz für jedes Tier;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;COL3;2;100
120;Unsere Philosophie;"Tiere kommunizieren auf ihre eigene Weise. Schmerz zeigt sich nicht immer offensichtlich — manchmal verbirgt er sich in verändertem Verhalten, eingeschränkter Bewegung oder einem schleichenden Rückgang der Lebensfreude.<br/><br/>
Als Fachtierärztin mit langjähriger Erfahrung in der ganzheitlich-integrativen Veterinärmedizin sehe ich Ihr Tier als Ganzes: Körper, Bewegungsapparat, Nervensystem und Wohlbefinden in ihrem Zusammenspiel. Moderne schulmedizinische Diagnostik verbinde ich mit bewährten komplementären Methoden — individuell abgestimmt auf die Bedürfnisse Ihres Tieres.<br/><br/>
<b>Ihr Tier verdient die beste Versorgung. Ganzheitlich. Kompetent. Mit Herz.</b>";PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;100
130;Kontakt & Sprechzeiten;Wir sind für Sie und Ihr Tier da;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;COL4;4;100
210;CHIROPRAKTIK FÜR TIERE;Chiropraktische Behandlung ist grundsätzlich für jedes Tier sinnvoll.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;200
220;Goldimplantation zur Schmerztherapie bei Katzen;Die Goldimplantation ist eine vielversprechende, nebenwirkungsfreie Option für Katzen mit chronischen Gelenkschmerzen, wenn andere Therapien nicht mehr ausreichend helfen oder nicht vertragen werden. Der Schlüssel zum Erfolg liegt in der erfahrenen Hand eines spezialisierten Tierarztes, der eine extrem gründliche Diagnostik durchführt.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;2;200
230;Blutegeltherapie;Erfahren Sie, wie Blutegel bei verschiedenen Beschwerden wie Schmerzen, Entzündungen oder Venenerkrankungen helfen können.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;200
300;Über Tier Gesund;Tier Gesund ist eine engagierte Tierärzten, die sich der Gesundheit und dem Wohlbefinden von Tieren verschrieben hat. Erfahren Sie mehr über unsere Geschichte und unsere Werte.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;COL2;1;300
310;Therapieangebot;Unser Therapieangebot;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;300
320;Aus- und Fortbildungen;Fortbildungen im Laufe der Jahre absolviert;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;2;300
330;Mitgliedschaften;Mitgliedschafen in nationalen und internationalen Organisationen;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;3;300
400;Datenschutzerklärung;Diese Datenschutzerklärung informiert Sie gemäß der Datenschutz-Grundverordnung (DSGVO) und dem Österreichischen Datenschutzgesetz (DSG 2018) über die Verarbeitung Ihrer personenbezogenen Daten auf dieser Website.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;400
500;Impressum;Pflichtangaben gemäß § 5 ECG (E-Commerce-Gesetz) und § 25 MedienG.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;500
600;Kontakt;Nehmen Sie Kontakt mit uns auf – wir freuen uns auf Ihre Nachricht. Unser Team steht Ihnen bei allen Fragen rund um die Tiergesundheit zur Verfügung.;PUBLISHED;2026-01-01T00:00:00;2026-01-01T00:00:00;2026-01-01T00:00:00;GERMAN;TEXT;1;600
