id;title;content;state;published_date;created_at;updated_at;author;language;page_type;article_image_id;page_id
300;Välkommen till Djurhälsa;Djur är inte bara trogna följeslagare, utan också sanna själsöströstar. Oavsett hund, katt eller kanin – varje djur har sin egen personlighet och för glädje in i vår vardag. I vår portal hittar du allt viktigt om djurhälsa, från förebyggande till professionell veterinärmedicin.;PUBLISHED;2025-02-15T08:00:00;2025-02-14T09:30:00;2025-02-15T08:00:00;Dr. Lundqvist;SWEDISH;HOME_TEASER;1;1
301;Livet på en veterinärklinik;En veterinärklinik är en plats full av känslor – från glada vaccinationstillfällen till dramatiska nödsituationer. Medan regelbundna kontroller är viktiga för tidig sjukdomsupptäckning kräver plötsliga skador eller sjukdomar snabba åtgärder. Veterinärer måste inte bara vara medicinskt skickliga utan också empatiska med oroade djurägare.;PUBLISHED;2025-03-01T10:30:00;2025-02-28T14:15:00;2025-03-01T10:30:00;Dr. Svensson;SWEDISH;HOME_PAGE;2;1
302;De vanligaste hälsoproblemen hos husdjur;Många husdjur lider av liknande problem: hundar ofta från ledproblem, katter från njursjukdom och små gnagare ibland från tandproblem. En balanserad diet, regelbunden träning och förebyggande kontroller kan förhindra många sjukdomar. Men även med bästa vård kan oväntade situationer uppstå.;PUBLISHED;2025-03-10T14:15:00;2025-03-08T10:45:00;2025-03-10T14:15:00;Dr. Bergström;SWEDISH;HOME_PAGE;3;1
303;Modern veterinärmedicin: Innovationer som räddar liv;Veterinärmedicinen har gjort enorma framsteg de senaste åren. Från försiktiga kirurgiska metoder till specialiserad fysiologi och personaliserad cancerterapi – möjligheterna är många. Digitala verktyg som telemedicin blir också allt viktigare för snabb konsultation.;PUBLISHED;2025-03-18T09:45:00;2025-03-16T11:20:00;2025-03-18T09:45:00;Dr. Andersson;SWEDISH;HOME_PAGE;4;1
304;Hur vi kan ge våra djur ett hälsosamt liv;Det viktigaste är förebyggande: vaccinationer, parasitkontroll och artgerecht skötsel är grundpelarna för ett långt, lyckligt djurliv. Men också bandet mellan människa och djur spelar en roll – för uppmärksamhet och omsorg stärker välbefinnandet. Trots allt förtjänar våra djurfamiljsmedlemmar det bästa!;PUBLISHED;2025-03-25T11:20:00;2025-03-23T15:30:00;2025-03-25T11:20:00;Dr. Eriksson;SWEDISH;HOME_PAGE;5;1
305;Senaste nyheterna från veterinärmedicin;De senaste utvecklingarna och insikterna från djurhälsans värld. Lär dig vilken forskning som för närvarande driver industrin framåt och hur nya terapeutiska metoder hjälper djur att leva bättre liv. Håll dig uppdaterad om trender och banbrytande upptäckter.;PUBLISHED;2025-02-28T07:00:00;2025-02-26T13:00:00;2025-02-28T07:00:00;Dr. Nilsson;SWEDISH;NEWS_TEASER;6;2
306;Nya insikter om förebyggande av zoonos;Zoonos är sjukdomar som kan överföras mellan djur och människor. Ny forskning visar lovande sätt för djurägare att bättre skydda sina djur och sig själva. De viktigaste åtgärderna och nuvarande rekommendationer från veterinärer är nu sammanfattade.;PUBLISHED;2025-02-20T13:30:00;2025-02-18T09:15:00;2025-02-20T13:30:00;Dr. Persson;SWEDISH;NEWS_PAGE;7;2
307;Intervju med ledande veterinär;Vi talar med Dr. Anna Blomqvist om hennes 20 års erfarenhet av smådjursmedicin. Hon delar sin syn på veterinärmedicinens framtid och ger praktiska tips för djurägare om hur man bättre kan hantera nödsituationer. Ett inspirerande samtal om passion och professionell kompetens.;PUBLISHED;2025-03-05T15:45:00;2025-03-03T10:30:00;2025-03-05T15:45:00;Dr. Blomqvist;SWEDISH;NEWS_PAGE;8;2
308;Djurskydd och djurhälsa: Ett viktigt ämne;Artgerecht skötsel är inte bara djurskydd, utan också en förutsättning för ett hälsosamt djurliv. Experter diskuterar nuvarande utmaningar och hur züchter och ägare kan bidra till bättre standarder. En överblick över juridiska regler och etiskt ansvar.;PUBLISHED;2025-03-12T10:15:00;2025-03-10T14:00:00;2025-03-12T10:15:00;Prof. Dr. Lindström;SWEDISH;NEWS_PAGE;9;2
309;Innovativa läkningsmödor för äldre djur;När djur blir äldre behöver de särskild uppmärksamhet. Nya terapeutiska metoder hjälper äldre husdjur att förbättra sin livskvalitet. Från smärthantering till kognitiva träningsprogram – lär dig hur modern medicin hjälper äldre djur.;PUBLISHED;2025-03-22T12:00:00;2025-03-20T08:45:00;2025-03-22T12:00:00;Dr. Ström;SWEDISH;NEWS_PAGE;10;2
