id;title;content;state;published_date;created_at;updated_at;author;language;page_type;article_image_id;page_id
400;Добро пожаловать в здоровье домашних животных;Животные - это не просто верные друзья, но и настоящие утешители душ. Будь то собака, кошка или кролик - каждое животное имеет свою личность и приносит радость в нашу повседневную жизнь. На нашем портале вы найдете все важное о здоровье животных, от профилактики до профессиональной ветеринарной медицины.;PUBLISHED;2025-02-15T08:00:00;2025-02-14T09:30:00;2025-02-15T08:00:00;Dr. Иванов;RUSSIAN;HOME_TEASER;1;1
401;День в ветеринарной клинике;Ветеринарная клиника - это место, полное эмоций: от радостных визитов для прививок до драматических экстренных случаев. Хотя регулярные осмотры важны для раннего выявления заболеваний, внезапные травмы или болезни требуют быстрых действий. Ветеринары должны быть не только медицински подготовлены, но и сочувственны к обеспокоенным владельцам животных.;PUBLISHED;2025-03-01T10:30:00;2025-02-28T14:15:00;2025-03-01T10:30:00;Dr. Петров;RUSSIAN;HOME_PAGE;2;1
402;Наиболее распространенные проблемы здоровья у домашних животных;Многие домашние животные страдают от похожих недугов: собаки часто имеют проблемы с суставами, кошки - с заболеванием почек, а маленькие грызуны иногда имеют проблемы с зубами. Сбалансированное питание, регулярные упражнения и профилактические осмотры могут предотвратить многие заболевания. Однако даже при самом хорошем уходе могут возникнуть неожиданные ситуации.;PUBLISHED;2025-03-10T14:15:00;2025-03-08T10:45:00;2025-03-10T14:15:00;Dr. Сидоров;RUSSIAN;HOME_PAGE;3;1
403;Современная ветеринарная медицина: инновации, спасающие жизни;Ветеринарная медицина за последние годы добилась огромных успехов. От щадящих хирургических методов к специальной физиотерапии и индивидуальным методам лечения рака - возможности разнообразны. Цифровые инструменты, такие как телемедицина, также приобретают все большее значение для быстрого консультирования.;PUBLISHED;2025-03-18T09:45:00;2025-03-16T11:20:00;2025-03-18T09:45:00;Dr. Волков;RUSSIAN;HOME_PAGE;4;1
404;Как мы можем дать нашим питомцам здоровую жизнь;Самое важное - это профилактика: прививки, защита от паразитов и надлежащее содержание - основа долгой и счастливой жизни питомца. Но связь между человеком и животным также играет роль - внимание и забота укрепляют благополучие. Ведь наши животные члены семьи заслуживают самого лучшего!;PUBLISHED;2025-03-25T11:20:00;2025-03-23T15:30:00;2025-03-25T11:20:00;Dr. Морозов;RUSSIAN;HOME_PAGE;5;1
405;Последние новости из ветеринарной медицины;Последние разработки и идеи из мира здоровья животных. Узнайте, какие исследования в настоящее время движут индустрией и как новые терапевтические подходы помогают животным жить лучше. Будьте в курсе тенденций и прорывных открытий.;PUBLISHED;2025-02-28T07:00:00;2025-02-26T13:00:00;2025-02-28T07:00:00;Dr. Лебедев;RUSSIAN;NEWS_TEASER;6;2
406;Новые знания о профилактике зоонозов;Зоонозы - это болезни, которые могут передаваться между животными и людьми. Новые исследования показывают многообещающие способы защиты животных и владельцев домашних животных. Наиболее важные меры и современные рекомендации ветеринаров теперь обобщены.;PUBLISHED;2025-02-20T13:30:00;2025-02-18T09:15:00;2025-02-20T13:30:00;Dr. Соколов;RUSSIAN;NEWS_PAGE;7;2
407;Интервью с ведущим ветеринаром;Мы беседуем с доктором Еленой Смирновой о её 20-летнем опыте в ветеринарной медицине мелких животных. Она делится своим мнением о будущем ветеринарной медицины и дает практические советы владельцам животных о том, как лучше справляться с чрезвычайными ситуациями. Вдохновляющий разговор о страсти и профессиональном мастерстве.;PUBLISHED;2025-03-05T15:45:00;2025-03-03T10:30:00;2025-03-05T15:45:00;Dr. Смирнова;RUSSIAN;NEWS_PAGE;8;2
408;Защита животных и здоровье животных: важная тема;Надлежащее содержание - это не только защита животных, но и предпосылка для здоровой жизни животных. Эксперты обсуждают текущие проблемы и то, как заводчики и владельцы могут способствовать улучшению стандартов. Обзор правовых норм и этической ответственности.;PUBLISHED;2025-03-12T10:15:00;2025-03-10T14:00:00;2025-03-12T10:15:00;Prof. Dr. Кузнецов;RUSSIAN;NEWS_PAGE;9;2
409;Инновационные методы лечения животных пожилого возраста;По мере того, как животные становятся старше, они нуждаются в особом внимании. Новые терапевтические подходы помогают пожилым домашним животным улучшить качество жизни. От управления болью до программ когнитивного обучения - узнайте, как современная медицина помогает пожилым животным.;PUBLISHED;2025-03-22T12:00:00;2025-03-20T08:45:00;2025-03-22T12:00:00;Dr. Орлов;RUSSIAN;NEWS_PAGE;10;2
